,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
2503,If Beale Street Could Talk,(2018),7.1,"
R
|
119 min
|

Drama, Romance            
","
A young woman embraces her pregnancy while she and her family set out to prove her childhood friend and lover innocent of a crime he didn't commit.","
Votes:
48,898
| Gross:
$14.92M
",87        ,['Barry Jenkins'],"['KiKi Layne', 'Stephan James', 'Regina King', 'Teyonah Parris']"
2504,Bad Times at the El Royale,(2018),7.1,"
R
|
141 min
|

Crime, Drama, Mystery            
","
Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.","
Votes:
149,810
| Gross:
$17.84M
",60        ,['Drew Goddard'],"['Jeff Bridges', 'Cynthia Erivo', 'Dakota Johnson', 'Jon Hamm']"
2505,The White Tiger,(2021),7.1,"
R
|
125 min
|

Crime, Drama            
","
An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.","
Votes:
60,281
",76        ,['Ramin Bahrani'],"['Adarsh Gourav', 'Rajkummar Rao', 'Priyanka Chopra Jonas', 'Vedant Sinha']"
2506,Fighting with My Family,(2019),7.1,"
13
|
108 min
|

Biography, Comedy, Drama            
","
A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.","
Votes:
81,308
| Gross:
$22.96M
",68        ,['Stephen Merchant'],"['Dwayne Johnson', 'Lena Headey', 'Vince Vaughn', 'Florence Pugh']"
2507,Creed II,(2018),7.1,"
PG-13
|
130 min
|

Drama, Sport            
","
Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.","
Votes:
124,712
| Gross:
$115.72M
",66        ,['Steven Caple Jr.'],"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad']"
2508,Free Guy,(2021),7.1,"
13 +
|
115 min
|

Action, Adventure, Comedy            
","
A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","
Votes:
361,708
| Gross:
$121.63M
",62        ,['Shawn Levy'],"['Ryan Reynolds', 'Jodie Comer', 'Taika Waititi', 'Lil Rel Howery']"
2509,First Reformed,(2017),7.1,"
R
|
113 min
|

Drama, Mystery, Thriller            
","
A minister of a small congregation in upstate New York grapples with mounting despair brought on by tragedy, worldly concerns and a tormented past.","
Votes:
56,694
| Gross:
$3.45M
",85        ,['Paul Schrader'],"['Ethan Hawke', 'Amanda Seyfried', 'Cedric the Entertainer', 'Victoria Hill']"
2510,Aus dem Nichts,(2017),7.1,"
R
|
106 min
|

Crime, Drama, Thriller            
","
Katja's life collapses after the deaths of her husband and son in a bomb attack. After a time of mourning and injustice, Katja seeks revenge.","
Votes:
33,166
| Gross:
$0.32M
",65        ,['Fatih Akin'],"['Numan Acar', 'Adam Bousdoukos', 'Diane Kruger', 'Denis Moschitto']"
2511,Breathe,(I) (2017),7.1,"
PG-13
|
118 min
|

Biography, Drama, Romance            
","
The inspiring true love story of Robin (Andrew Garfield) and Diana Cavendish (Claire Foy), an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis.","
Votes:
22,780
| Gross:
$0.49M
",51        ,['Andy Serkis'],"['Andrew Garfield', 'Claire Foy', 'Hugh Bonneville', 'Ed Speleers']"
2512,Brawl in Cell Block 99,(2017),7.1,"
132 min
|

Action, Crime, Drama            
","
A former boxer-turned-drug runner lands in a prison battleground after a deal gets deadly.","
Votes:
66,867
",79        ,['S. Craig Zahler'],"['Vince Vaughn', 'Jennifer Carpenter', 'Don Johnson', 'Udo Kier']"
2513,Wild Rose,(2018),7.1,"
R
|
101 min
|

Drama, Music            
","
A troubled young Glaswegian woman dreams of becoming a Nashville country star.","
Votes:
14,001
| Gross:
$1.64M
",80        ,['Tom Harper'],"['Jessie Buckley', 'Matt Costello', 'Jane Patterson', 'Lesley Hart']"
2514,The Square,(2017),7.1,"
R
|
151 min
|

Comedy, Drama            
","
A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.","
Votes:
64,528
| Gross:
$1.50M
",73        ,['Ruben Östlund'],"['Claes Bang', 'Elisabeth Moss', 'Dominic West', 'Terry Notary']"
2515,Riphagen,(2016),7.1,"
131 min
|

Biography, Drama, War            
","
The story about Riphagen, a cunning Dutch traitor during WW2 who helped Nazi round up Jews, stealing their treasures for himself. He destroyed Resistance groups, making many who pursued justice after the war look like fools.","
Votes:
7,894
",,['Pieter Kuijpers'],"['Huub Smit', 'Jeroen van Koningsbrugge', 'Anna Raadsveld', 'Steef de Bot']"
2516,Mil-jeong,(2016),7.1,"
140 min
|

Action, History, Thriller            
","
Korean resistance fighters smuggle explosives to destroy facilities controlled by Japanese forces in this period action thriller.","
Votes:
10,103
| Gross:
$0.54M
",78        ,['Jee-woon Kim'],"['Zach Aguilar', 'Lee Byung-hun', 'Song Kang-ho', 'Gong Yoo']"
2517,Megan Leavey,(2017),7.1,"
PG-13
|
116 min
|

Action, Biography, Drama            
","
Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.","
Votes:
24,053
| Gross:
$13.41M
",66        ,['Gabriela Cowperthwaite'],"['Kate Mara', 'Ramón Rodríguez', 'Tom Felton', 'Bradley Whitford']"
2518,First They Killed My Father,(2017),7.1,"
136 min
|

Biography, Drama, History            
","
Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.","
Votes:
18,575
",72        ,['Angelina Jolie'],"['Sareum Srey Moch', 'Phoeung Kompheak', 'Sveng Socheata', 'Mun Kimhak']"
2519,On the Basis of Sex,(2018),7.1,"
15
|
120 min
|

Biography, Drama            
","
The true story of Ruth Bader Ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.","
Votes:
34,598
| Gross:
$24.62M
",59        ,['Mimi Leder'],"['Felicity Jones', 'Armie Hammer', 'Justin Theroux', 'Sam Waterston']"
2520,Can You Ever Forgive Me?,(2018),7.1,"
R
|
106 min
|

Biography, Comedy, Crime            
","
When Lee Israel falls out of step with current tastes, she turns her art form to deception.","
Votes:
52,475
| Gross:
$8.80M
",87        ,['Marielle Heller'],"['Melissa McCarthy', 'Richard E. Grant', 'Dolly Wells', 'Ben Falcone']"
2521,Ghostbusters: Afterlife,(2021),7.1,"
G
|
124 min
|

Adventure, Comedy, Fantasy            
","
When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","
Votes:
176,717
| Gross:
$129.36M
",45        ,['Jason Reitman'],"['Carrie Coon', 'Paul Rudd', 'Finn Wolfhard', 'Mckenna Grace']"
2522,Kongens Nei,(2016),7.1,"
133 min
|

Biography, Drama, History            
","
April 1940. Norway has been invaded by Germany and the royal family and government have fled into the interior. The German envoy to Norway tries to negotiate a peace. Ultimately, the decision on Norway's future will rest with the King.","
Votes:
9,125
| Gross:
$0.11M
",64        ,['Erik Poppe'],"['Jesper Christensen', 'Anders Baasmo', 'Karl Markovics', 'Tuva Novotny']"
2523,Krisha,(2015),7.1,"
R
|
83 min
|

Drama            
","
Krisha returns for Thanksgiving dinner after ten years away from her family, but past demons threaten to ruin the festivities.","
Votes:
9,222
| Gross:
$0.14M
",86        ,['Trey Edward Shults'],"['Krisha Fairchild', 'Alex Dobrenko', 'Robyn Fairchild', 'Chris Doubek']"
2524,Miracles from Heaven,(2016),7.1,"
PG
|
109 min
|

Biography, Drama, Family            
","
Based on the incredible true story of the Beam family.","
Votes:
25,861
| Gross:
$61.71M
",44        ,['Patricia Riggen'],"['Jennifer Garner', 'Kylie Rogers', 'Martin Henderson', 'Brighton Sharbino']"
2525,Don't Breathe,(2016),7.1,"
18
|
88 min
|

Crime, Horror, Thriller            
","
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
Votes:
273,002
| Gross:
$89.22M
",71        ,['Fede Alvarez'],"['Stephen Lang', 'Jane Levy', 'Dylan Minnette', 'Daniel Zovatto']"
2526,Firebird,(I) (2021),7.1,"
R
|
107 min
|

Drama, Romance            
","
Firebird follows a handsome, soulful young soldier who embarks on a clandestine sexual affair with a charismatic fighter pilot on a Soviet Air Force Base at the height of 1970's Communist rule.","
Votes:
8,934
",49        ,['Peeter Rebane'],"['Tom Prior', 'Oleg Zagorodnii', 'Diana Pozharskaya', 'Jake Henderson']"
2527,Leave No Trace,(2018),7.1,"
PG
|
109 min
|

Adventure, Drama            
","
A father and his thirteen-year-old daughter are living an ideal existence in a vast urban park in Portland, Oregon when a small mistake derails their lives forever.","
Votes:
59,787
| Gross:
$6.05M
",88        ,['Debra Granik'],"['Thomasin McKenzie', 'Ben Foster', 'Jeffery Rifflard', 'Derek John Drescher']"
2528,Tangerine,(2015),7.1,"
R
|
88 min
|

Comedy, Crime, Drama            
","
A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.","
Votes:
32,504
| Gross:
$0.70M
",86        ,['Sean Baker'],"['Kitana Kiki Rodriguez', 'Mya Taylor', 'Karren Karagulian', ""Mickey O'Hagan""]"
2529,The Dig,(2021),7.1,"
PG-13
|
112 min
|

Biography, Drama, History            
","
An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.","
Votes:
74,451
",73        ,['Simon Stone'],"['Carey Mulligan', 'Ralph Fiennes', 'Lily James', 'Johnny Flynn']"
2530,Allied,(2016),7.1,"
18
|
124 min
|

Action, Drama, Romance            
","
In 1942, a Canadian intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.","
Votes:
156,991
| Gross:
$40.10M
",60        ,['Robert Zemeckis'],"['Brad Pitt', 'Marion Cotillard', 'Jared Harris', 'Vincent Ebrahim']"
2531,Kajaki,(2014),7.1,"
R
|
108 min
|

Adventure, Biography, Drama            
","
Kajaki Dam 2006. A company of young British soldiers encounter an unexpected, terrifying enemy. A dried-out river bed, and under every step the possibility of an anti-personnel mine. A mine that could cost you your leg - or your life.","
Votes:
13,396
",,['Paul Katis'],"['David Elliot', 'Mark Stanley', 'Scott Kyle', ""Benjamin O'Mahony""]"
2532,45 Years,(2015),7.1,"
R
|
95 min
|

Drama, Romance            
","
A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.","
Votes:
33,358
| Gross:
$4.25M
",94        ,['Andrew Haigh'],"['Charlotte Rampling', 'Tom Courtenay', 'Geraldine James', 'Dolly Wells']"
2533,Myeong-ryang,(2014),7.1,"
15
|
128 min
|

Action, Drama, History            
","
Admiral Yi Sun-sin faces a tough challenge when he is forced to defend his nation with just 13 battleships against 300 Japanese enemy ships in the Battle of Myeongryang.","
Votes:
11,948
| Gross:
$2.59M
",,['Han-min Kim'],"['Choi Min-sik', 'Seung-ryong Ryu', 'Cho Jin-woong', 'Kim Myung-gon']"
2534,American Made,(2017),7.1,"
15
|
115 min
|

Action, Comedy, Crime            
","
The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair.","
Votes:
183,624
| Gross:
$51.34M
",65        ,['Doug Liman'],"['Tom Cruise', 'Domhnall Gleeson', 'Sarah Wright', 'Jesse Plemons']"
2535,Race,(I) (2016),7.1,"
G
|
134 min
|

Biography, Drama, Sport            
","
Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy.","
Votes:
37,932
| Gross:
$19.10M
",56        ,['Stephen Hopkins'],"['Stephan James', 'Jason Sudeikis', 'Eli Goree', 'Shanice Banton']"
2536,Mon roi,(2015),7.1,"
124 min
|

Drama, Romance            
","
Tony is admitted to a rehabilitation center after a serious skiing accident. Dependent on medical staff and painkillers, she takes the time to remember the tumultuous love story she lived with Georgio.","
Votes:
13,037
| Gross:
$0.05M
",68        ,['Maïwenn'],"['Vincent Cassel', 'Emmanuelle Bercot', 'Louis Garrel', 'Isild Le Besco']"
2537,Sing,(2016),7.1,"
G
|
108 min
|

Animation, Comedy, Family            
","
In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","
Votes:
168,450
| Gross:
$270.40M
",59        ,"['Garth Jennings', 'Christophe Lourdelet']","['Matthew McConaughey', 'Reese Witherspoon', 'Seth MacFarlane', 'Scarlett Johansson']"
2538,The Lobster,(2015),7.1,"
15
|
119 min
|

Drama, Romance, Sci-Fi            
","
In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods.","
Votes:
254,773
| Gross:
$8.70M
",82        ,['Yorgos Lanthimos'],"['Colin Farrell', 'Rachel Weisz', 'Jessica Barden', 'Olivia Colman']"
2539,Timbuktu,(2014),7.1,"
PG-13
|
96 min
|

Drama, War            
","
A cattle herder and his family who reside in the dunes of Timbuktu find their quiet lives -- which are typically free of the Jihadists determined to control their faith -- abruptly disturbed.","
Votes:
17,540
| Gross:
$1.08M
",92        ,['Abderrahmane Sissako'],"['Ibrahim Ahmed', 'Abel Jafri', 'Toulou Kiki', 'Layla Walet Mohamed']"
2540,Concussion,(2015),7.1,"
PG-13
|
123 min
|

Biography, Drama, Sport            
","
In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.","
Votes:
95,281
| Gross:
$34.54M
",55        ,['Peter Landesman'],"['Will Smith', 'Alec Baldwin', 'Albert Brooks', 'David Morse']"
2541,X+Y,(2014),7.1,"
PG-13
|
111 min
|

Drama, Romance            
","
A socially awkward teenage maths prodigy finds new confidence and new friendships when he lands a spot on the British squad at the International Mathematics Olympiad.","
Votes:
29,320
| Gross:
$0.14M
",65        ,['Morgan Matthews'],"['Asa Butterfield', 'Rafe Spall', 'Sally Hawkins', 'Eddie Marsan']"
2542,Fasandræberne,(2014),7.1,"
119 min
|

Crime, Drama, Mystery            
","
The murder of young twins initially implicates a group of upper class students as the killers, though the case takes a turn or two from its starting point.","
Votes:
23,889
",61        ,['Mikkel Nørgaard'],"['Nikolaj Lie Kaas', 'Fares Fares', 'Pilou Asbæk', 'David Dencik']"
2543,La French,(2014),7.1,"
R
|
135 min
|

Action, Crime, Thriller            
","
A French police magistrate spends years trying to take down one of the country's most powerful drug rings.","
Votes:
11,034
",67        ,['Cédric Jimenez'],"['Jean Dujardin', 'Gilles Lellouche', 'Céline Sallette', 'Mélanie Doutey']"
2544,Far from the Madding Crowd,(2015),7.1,"
PG-13
|
119 min
|

Drama, Romance            
","
In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor.","
Votes:
49,831
| Gross:
$12.23M
",71        ,['Thomas Vinterberg'],"['Carey Mulligan', 'Matthias Schoenaerts', 'Michael Sheen', 'Tom Sturridge']"
2545,99 Homes,(2014),7.1,"
R
|
112 min
|

Crime, Drama            
","
A recently unemployed single father struggles to get back his foreclosed home by working for the real estate broker who is the source of his frustration.","
Votes:
34,185
| Gross:
$1.41M
",76        ,['Ramin Bahrani'],"['Andrew Garfield', 'Michael Shannon', 'Laura Dern', 'Clancy Brown']"
2546,Tian zhu ding,(2013),7.1,"
130 min
|

Action, Drama            
","
Four independent stories set in modern China about random acts of violence.","
Votes:
11,852
| Gross:
$0.09M
",77        ,['Zhangke Jia'],"['Wu Jiang', 'Baoqiang Wang', 'Tao Zhao', 'Lanshan Luo']"
2547,Fast & Furious 7,(2015),7.1,"
15
|
137 min
|

Action, Crime, Thriller            
","
Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.","
Votes:
389,165
| Gross:
$353.01M
",67        ,['James Wan'],"['Vin Diesel', 'Paul Walker', 'Dwayne Johnson', 'Jason Statham']"
2548,Beauty and the Beast,(I) (2017),7.1,"
G
|
129 min
|

Adventure, Family, Fantasy            
","
A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
Votes:
307,552
| Gross:
$504.01M
",65        ,['Bill Condon'],"['Emma Watson', 'Dan Stevens', 'Luke Evans', 'Josh Gad']"
2549,Everest,(2015),7.1,"
G
|
121 min
|

Action, Adventure, Biography            
","
The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.","
Votes:
217,755
| Gross:
$43.48M
",64        ,['Baltasar Kormákur'],"['Jason Clarke', 'Ang Phula Sherpa', 'Thomas M. Wright', 'Martin Henderson']"
2550,Locke,(2013),7.1,"
R
|
85 min
|

Drama            
","
Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.","
Votes:
150,224
| Gross:
$1.36M
",81        ,['Steven Knight'],"['Tom Hardy', 'Olivia Colman', 'Ruth Wilson', 'Andrew Scott']"
2551,Kraftidioten,(2014),7.1,"
R
|
116 min
|

Action, Comedy, Crime            
","
After his son is murdered by drug dealers, a snowplow driver starts seeking revenge.","
Votes:
27,356
| Gross:
$0.05M
",74        ,['Hans Petter Moland'],"['Stellan Skarsgård', 'Bruno Ganz', 'Pål Sverre Hagen', 'Jakob Oftebro']"
2552,Das finstere Tal,(2014),7.1,"
115 min
|

Action, Drama, Western            
","
Through a hidden path, a lone rider reaches a little town high up in the Alps. Nobody knows where the stranger comes from, nor what he wants there. But everyone knows that they don't want him to stay.","
Votes:
13,522
",,['Andreas Prochaska'],"['Sam Riley', 'Tobias Moretti', 'Paula Beer', 'Thomas Schubert']"
2553,Bone Tomahawk,(2015),7.1,"
132 min
|

Drama, Horror, Western            
","
In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","
Votes:
101,886
",72        ,['S. Craig Zahler'],"['Kurt Russell', 'Patrick Wilson', 'Matthew Fox', 'Richard Jenkins']"
2554,5 to 7,(2014),7.1,"
R
|
95 min
|

Comedy, Drama, Romance            
","
An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married and the couple can only meet between the hours of 5 and 7 each evening.","
Votes:
20,359
| Gross:
$0.12M
",52        ,['Victor Levin'],"['Anton Yelchin', 'Bérénice Marlohe', 'Olivia Thirlby', 'Lambert Wilson']"
2555,The Glass Castle,(2017),7.1,"
15
|
127 min
|

Biography, Drama            
","
A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.","
Votes:
33,957
| Gross:
$17.27M
",56        ,['Destin Daniel Cretton'],"['Brie Larson', 'Woody Harrelson', 'Naomi Watts', 'Ella Anderson']"
2556,Minuscule: La vallée des fourmis perdues,(2013),7.1,"
89 min
|

Animation, Action, Adventure            
","
Somewhere in the forest, a stranded ladybug joins forces with a squad of black ants to retrieve a tin box of delicious sugar cubes to the hive. A battalion of fierce red ants has already set their sights on the loot. Who shall prevail?","
Votes:
8,457
",,"['Hélène Giraud', 'Thomas Szabo']","['Stephen Apostolina', 'Holly J. Barrett', 'Jack Blessing', 'Ranjani Brow']"
2557,The Intern,(I) (2015),7.1,"
PG-13
|
121 min
|

Comedy, Drama            
","
Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","
Votes:
251,569
| Gross:
$75.76M
",51        ,['Nancy Meyers'],"['Robert De Niro', 'Anne Hathaway', 'Rene Russo', 'Anders Holm']"
2558,Blue Ruin,(2013),7.1,"
R
|
90 min
|

Crime, Drama, Thriller            
","
A mysterious outsider's quiet life is turned upside down when he returns to his childhood home to carry out an act of vengeance. Proving himself an amateur assassin, he winds up in a brutal fight to protect his estranged family.","
Votes:
74,141
| Gross:
$0.26M
",78        ,['Jeremy Saulnier'],"['Macon Blair', 'Devin Ratray', 'Amy Hargreaves', 'Kevin Kolack']"
2559,Wild,(I) (2014),7.1,"
R
|
115 min
|

Adventure, Biography, Drama            
","
A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.","
Votes:
129,570
| Gross:
$37.88M
",74        ,['Jean-Marc Vallée'],"['Reese Witherspoon', 'Laura Dern', 'Gaby Hoffmann', 'Michiel Huisman']"
2560,Mandela: Long Walk to Freedom,(2013),7.1,"
PG-13
|
141 min
|

Biography, Drama, History            
","
A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.","
Votes:
28,067
| Gross:
$8.32M
",60        ,['Justin Chadwick'],"['Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']"
2561,Kung Fu Panda 3,(2016),7.1,"
G
|
95 min
|

Animation, Action, Adventure            
","
Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","
Votes:
158,584
| Gross:
$143.53M
",66        ,"['Alessandro Carloni', 'Jennifer Yuh Nelson']","['Jack Black', 'Bryan Cranston', 'Dustin Hoffman', 'Angelina Jolie']"
2562,Kapringen,(2012),7.1,"
R
|
103 min
|

Drama, Thriller            
","
The crew of a Danish cargo ship is hijacked by Somali pirates who proceed to engage in escalating negotiations with authorities in Copenhagen.","
Votes:
16,780
| Gross:
$0.41M
",82        ,['Tobias Lindholm'],"['Pilou Asbæk', 'Søren Malling', 'Dar Salim', 'Roland Møller']"
2563,O Som ao Redor,(2012),7.1,"
131 min
|

Drama, Thriller            
","
The lives of the residents of a Brazilian apartment building and the security guards who get the job guarding the surrounding streets.","
Votes:
8,194
| Gross:
$0.03M
",77        ,['Kleber Mendonça Filho'],"['Ana Rita Gurgel', 'Caio Almeida', 'Maeve Jinkings', 'Dida Maia']"
2564,The Kings of Summer,(2013),7.1,"
R
|
95 min
|

Adventure, Comedy, Drama            
","
Three teenage friends, in the ultimate act of independence, decide to spend their summer building a house in the woods and living off the land.","
Votes:
81,794
| Gross:
$1.29M
",61        ,['Jordan Vogt-Roberts'],"['Nick Robinson', 'Gabriel Basso', 'Moises Arias', 'Nick Offerman']"
2565,Metallica Through the Never,(2013),7.1,"
R
|
93 min
|

Music            
","
Trip, a young roadie for Metallica, is sent on an urgent mission during the band's show. But what seems like a simple assignment turns into a surreal adventure.","
Votes:
17,680
| Gross:
$3.42M
",61        ,['Nimród Antal'],"['Dane DeHaan', 'James Hetfield', 'Lars Ulrich', 'Kirk Hammett']"
2566,Tracks,(I) (2013),7.1,"
PG-13
|
112 min
|

Adventure, Biography, Drama            
","
A young woman goes on a 1,700-mile trek across the deserts of West Australia with four camels and her faithful dog.","
Votes:
29,841
| Gross:
$0.51M
",78        ,['John Curran'],"['Mia Wasikowska', 'Adam Driver', 'Lily Pearl', 'Philip Dodd']"
2567,The Railway Man,(2013),7.1,"
15
|
116 min
|

Biography, Drama, Romance            
","
A former British Army officer, who was tortured as a prisoner of war at a Japanese labor camp during World War II, discovers that the man responsible for much of his treatment is still alive and sets out to confront him.","
Votes:
40,546
| Gross:
$4.44M
",59        ,['Jonathan Teplitzky'],"['Colin Firth', 'Nicole Kidman', 'Stellan Skarsgård', 'Jeremy Irvine']"
2568,Side Effects,(I) (2013),7.1,"
R
|
106 min
|

Crime, Drama, Mystery            
","
A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.","
Votes:
188,888
| Gross:
$32.17M
",75        ,['Steven Soderbergh'],"['Rooney Mara', 'Channing Tatum', 'Jude Law', 'Catherine Zeta-Jones']"
2569,War Dogs,(2016),7.1,"
G
|
114 min
|

Biography, Comedy, Crime            
","
Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","
Votes:
218,306
| Gross:
$43.03M
",57        ,['Todd Phillips'],"['Jonah Hill', 'Miles Teller', 'Steve Lantz', 'Gregg Weiner']"
2570,Lore,(2012),7.1,"
109 min
|

Drama, Romance, War            
","
As the Allies sweep across Germany, Lore leads her siblings on a journey that exposes them to the truth of their parents' beliefs. An encounter with a mysterious refugee forces Lore to rely on a person she has always been taught to hate.","
Votes:
15,365
| Gross:
$0.97M
",76        ,['Cate Shortland'],"['Saskia Rosendahl', 'Kai-Peter Malina', 'Nele Trebs', 'Ursina Lardi']"
2571,Pitch Perfect,(2012),7.1,"
PG-13
|
112 min
|

Comedy, Music, Romance            
","
Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.","
Votes:
305,536
| Gross:
$65.00M
",66        ,['Jason Moore'],"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Anna Camp']"
2572,Seven Psychopaths,(2012),7.1,"
R
|
110 min
|

Comedy, Crime            
","
A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.","
Votes:
257,306
| Gross:
$15.02M
",66        ,['Martin McDonagh'],"['Colin Farrell', 'Woody Harrelson', 'Sam Rockwell', 'Christopher Walken']"
2573,Trash,(I) (2014),7.1,"
R
|
114 min
|

Adventure, Crime, Drama            
","
Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","
Votes:
21,892
| Gross:
$0.01M
",50        ,"['Stephen Daldry', 'Christian Duurvoort']","['Rickson Tevez', 'Gabriel Weinstein', 'Martin Sheen', 'Rooney Mara']"
2574,God Bless America,(2011),7.1,"
R
|
105 min
|

Action, Comedy, Crime            
","
On a mission to rid society of its most repellent citizens, terminally ill Frank makes an unlikely accomplice in 16-year-old Roxy.","
Votes:
70,316
| Gross:
$0.12M
",56        ,['Bobcat Goldthwait'],"['Joel Murray', 'Tara Lynne Barr', 'Mackenzie Brooke Smith', 'Melinda Page Hamilton']"
2575,Buddha in a Traffic Jam,(2016),7.1,"
114 min
|

Crime, Thriller            
","
Vikram, a carefree management student, finds himself entangled in web of conspiracy, lies, and deceit when he launches a successful social media campaign to highlight the plight of the poor in India.","
Votes:
7,780
",,['Vivek Agnihotri'],"['Anupam Kher', 'Aanchal Dwivedi', 'Mahie Gill', 'Pallavi Joshi']"
2576,Into the White,(I) (2012),7.1,"
R
|
104 min
|

Action, Biography, Drama            
","
Norway, WWII: A group of British and German soldiers find themselves stranded in the wilderness after an aircraft battle. Finding shelter in the same cabin, they realize the only way to survive the winter is to place the rules of war aside.","
Votes:
21,338
",,['Petter Næss'],"['Florian Lukas', 'David Kross', 'Lachlan Nieboer', 'Stig Henrik Hoff']"
2577,Batman v Superman: Dawn of Justice (Ultimate Edition),(2016),7.1,"
R
|
182 min
|

Action, Adventure, Sci-Fi            
","
Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.","
Votes:
57,169
",,['Zack Snyder'],"['Amy Adams', 'Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg']"
2578,Deepwater Horizon,(2016),7.1,"
15
|
107 min
|

Action, Drama, History            
","
A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.","
Votes:
168,945
| Gross:
$61.43M
",68        ,['Peter Berg'],"['Mark Wahlberg', 'Kurt Russell', 'Douglas M. Griffin', 'James DuMont']"
